date,sno,confirmed cases
14-Mar-20,1,1
15-Mar-20,2,1
16-Mar-20,3,1
17-Mar-20,4,1
18-Mar-20,5,1
19-Mar-20,6,1
20-Mar-20,7,1
21-Mar-20,8,10
22-Mar-20,9,8
23-Mar-20,10,2
24-Mar-20,11,6
25-Mar-20,12,2
26-Mar-20,13,2
27-Mar-20,14,5
28-Mar-20,15,1
29-Mar-20,16,1
30-Mar-20,17,3
31-Mar-20,18,1
01-Apr-20,19,4
02-Apr-20,20,1
03-Apr-20,21,6
04-Apr-20,22,12
05-Apr-20,23,3
06-Apr-20,24,11
07-Apr-20,25,20
08-Apr-20,26,7
09-Apr-20,27,24
10-Apr-20,28,21
11-Apr-20,29,7
12-Apr-20,30,12
13-Apr-20,31,6
14-Apr-20,32,8
15-Apr-20,33,2
16-Apr-20,34,11
17-Apr-20,35,14
18-Apr-20,36,23
19-Apr-20,37,10
20-Apr-20,38,1
21-Apr-20,39,6
22-Apr-20,40,27
23-Apr-20,41,5
24-Apr-20,42,15
25-Apr-20,43,10
26-Apr-20,44,14
27-Apr-20,45,8
28-Apr-20,46,12
29-Apr-20,47,33
30-Apr-20,48,105
01-May-20,49,105
02-May-20,50,187
03-May-20,51,330
04-May-20,52,130
05-May-20,53,219
06-May-20,54,75
07-May-20,55,118
08-May-20,56,87
09-May-20,57,31
10-May-20,58,61
11-May-20,59,54
12-May-20,60,37
13-May-20,61,10
14-May-20,62,11
15-May-20,63,3
16-May-20,64,14
17-May-20,65,18
18-May-20,66,16
19-May-20,67,22
20-May-20,68,3
21-May-20,69,23
22-May-20,70,1
23-May-20,71,16
24-May-20,72,15
25-May-20,73,21
26-May-20,74,25
27-May-20,75,33
28-May-20,76,19
29-May-20,77,39
30-May-20,78,36
31-May-20,79,30
01-Jun-20,80,38
02-Jun-20,81,41
03-Jun-20,82,34
04-Jun-20,83,39
05-Jun-20,84,46
06-Jun-20,85,54
07-Jun-20,86,93
08-Jun-20,87,55
09-Jun-20,88,56
10-Jun-20,89,86
11-Jun-20,90,82
12-Jun-20,91,99
13-Jun-20,92,77
14-Jun-20,93,77
15-Jun-20,94,127
16-Jun-20,95,104
17-Jun-20,96,126
18-Jun-20,97,118
19-Jun-20,98,217
20-Jun-20,99,120
21-Jun-20,100,122
22-Jun-20,101,161
23-Jun-20,102,162
24-Jun-20,103,230
25-Jun-20,104,142
26-Jun-20,105,188
27-Jun-20,106,99
28-Jun-20,107,160
29-Jun-20,108,202
30-Jun-20,109,150
01-Jul-20,110,100
02-Jul-20,111,116
03-Jul-20,112,153
04-Jul-20,113,172
05-Jul-20,114,174
06-Jul-20,115,208
07-Jul-20,116,258
08-Jul-20,117,158
09-Jul-20,118,233
10-Jul-20,119,217
11-Jul-20,120,230
12-Jul-20,121,234
13-Jul-20,122,357
14-Jul-20,123,333
15-Jul-20,124,288
16-Jul-20,125,295
17-Jul-20,126,348
18-Jul-20,127,350
19-Jul-20,128,308
20-Jul-20,129,410
21-Jul-20,130,379
22-Jul-20,131,412
23-Jul-20,132,438
24-Jul-20,133,477
25-Jul-20,134,468
26-Jul-20,135,534
